𑐀𑐄𑐮 | अउल | əulə | (aula) | Noun | 1. malaria
𑐡𑑂𑐰𑐴𑑃 | द्वहँ | dwɔhə̃ | (dwahã) | Noun | 1. bull
𑐢𑐸𑑃 | धुँ | dʱũ | (dhũ) | Noun | 1. tiger
𑐢𑑂𑐫𑐧𑐵 | ध्यबा | dʱjəba | (dhyabā) | Noun | 1. money
𑐢𑑂𑐰𑑅 | ध्वः | dʱwɔː | (dhwa:) | Noun | 1. (geometry) line
𑐢𑑂𑐰𑐵𑐫𑐾𑐖𑑂𑐫𑐵 | ध्वायेज्या | dʱwajed͡ʑja | (dhwāyejyā) | Noun | 1. printing (books, paper, etc.)
𑐣𑑃 | नँ | nə̃ | (nã) | Noun | 1. iron
𑐣𑐎𑐶𑑄 | नकिं | nəkĩː | (nakiṃ) | Noun | 1. nail (fastener)
𑐣𑐏𑑅 | नखः | nəkʰəː | (nakha:) | Noun | 1. festival
𑐣𑐐𑐸 | नगु | nəɡu | (nagu) | Noun | 1. star
𑐣𑐐𑐸𑐩𑐵𑑄 | नगुमां | nəɡumãː | (nagumāṃ) | Noun | 1. calendar
𑐣𑐫𑐾 | नये | nəje | (naye) | Noun | 1. Devanagari_script form of naye, which is locative singular of नय (naya,
𑐣𑐰𑑅𑐑𑐵𑑃𑐫𑑂 | नवःघाँय् | nəwɔːɡʱæ̃ː | (nawa:ghæ̃) | Noun | 1. (botany) mint
𑐣𑐳𑐵𑐟𑑂𑐰𑑃𑐳𑐵 | नसात्वँसा | nəsatwɔ̃sa | (nasātwãsā) | Noun | 1. food
𑐣𑐴𑐵𑑅 | नहाः | nəhaː | (nahā:) | Noun | 1. body armor
𑐣𑐸𑐐𑑅 | नुगः | nuɡəː | (nuga:) | Noun | 1. heart
𑐣𑐸𑐐𑑅𑐡𑑂𑐫𑑅 | नुगःद्यः | nuɡəːdjəː | (nuga:dya:) | Noun | 1. soul
𑐣𑑂𑐫𑐵𑐎𑐸𑑄 | न्याकुं | njakũː | (nyākuṃ) | Noun | 1. pentagon
𑐣𑑂𑐰𑐎𑐹 | न्वकू | nwɔkuː | (nwakū) | Noun | 1. wedge
𑐤𑐵𑐫𑑂 | न्हाय् | nʱæː | (nhæ) | Noun | 1. nose
𑐤𑐶 | न्हि | nʱi | (nhi) | Noun | 1. day, from sunrise to sunset
𑐤𑐶𑐎𑐵𑑄𑐗𑑄𑐐𑑅 | न्हिकांझंगः | nʱikãːd͡ʑʱə̃ːɡəː | (nhikāṃjhaṃga:) | Noun | 1. owl
𑐤𑐸 | न्हु | nʱu | (nhu) | Noun | 1. day, from midnight to midnight
𑐤𑐾𑐎𑐸𑑄 | न्हेकुं | nʱekũː | (nhekuṃ) | Noun | 1. heptagon
𑐤𑐾𑐥𑐸 | न्हेपु | nʱepu | (nhepu) | Noun | 1. brain
𑐤𑑂𑐫𑐧𑑂𑐰𑐳𑐵 | न्ह्यब्वसा | nʱjəbwɔsa | (nhyabwasā) | Noun | 1. toy
𑐤𑑂𑐫𑐵𑐎𑑄 | न्ह्याकं | nʱjakə̃ː | (nhyākaṃ) | Noun | 1. mirror
𑐤𑑂𑐫𑐵𑐥𑑄 | न्ह्यापं | nʱjapə̃ː | (nhyāpaṃ) | Noun | 1. ear
